unique_id,uptick_name,date,title,url,TRIPI (1),TRIPI (2),Category (1),Category (2)
2d20180518n1.pdf,hkex,2018-05-18,Exchange Reviews Listed Issuers’ Implementation of ESG Reporting Guide,http://www.hkex.com.hk/News/News-Release/2018/180518news?sc_lang=en,,,,
2d20180516n1.pdf,hkex,2018-05-16,The Listing Committee censures Boer Power Holdings Limited (Stock Code: 1685) and a number of its current and former directors for breaching the Exchange Listing Rules and/or the Director’s Undertaking,http://www.hkex.com.hk/News/News-Release/2018/180516news?sc_lang=en,,,,
2d20180515n1.pdf,hkex,2018-05-15,Scrip Dividend Scheme in relation to the Final Dividend for the year ended 31 December 2017 - Calculation of Market Value,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/1805152news/1805152news.pdf,,,,
2d20180515n2.pdf,hkex,2018-05-15,HKEX to Enhance its USD/CNH Futures with New Contract and Calendar Spreads ,http://www.hkex.com.hk/News/News-Release/2018/1805153news?sc_lang=en,,,,
2d20180515n3.pdf,hkex,2018-05-15,LME Asia Week 2018 Kicks Off in Hong Kong,http://www.hkex.com.hk/News/News-Release/2018/180515news?sc_lang=en,,,,
2d20180509n1.pdf,hkex,2018-05-09,Appointment of Members to the Consultative Panels,http://www.hkex.com.hk/News/News-Release/2018/1805092news?sc_lang=en,,,,
2d20180509n2.pdf,hkex,2018-05-09,"Adjustment of Minsheng Bank Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/1805093news?sc_lang=en,,,,
2d20180509n3.pdf,hkex,2018-05-09,HKEX 2018 First Quarter Results,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/180509news/180509news.pdf,,,,
2d20180508n1.pdf,hkex,2018-05-08,HKEX announces plan to offer MSCI Asia ex Japan index futures  from 11 June,http://www.hkex.com.hk/News/News-Release/2018/180508news?sc_lang=en,,,,
2d20180507n1.pdf,hkex,2018-05-07,Appointment of Chairman Approved,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/180507news/180507news.pdf,,,,
2d20180504n1.pdf,hkex,2018-05-04,Exchange Publishes Conclusions from its Consultation on Capital Raisings by Listed Issuers and Announces Changes to Listing Rules ,http://www.hkex.com.hk/News/News-Release/2018/180504news?sc_lang=en,,,,
2d20180504n2.pdf,hkex,2018-05-04,Exchange Announces Formation of Biotech Advisory Panel,http://www.hkex.com.hk/News/News-Release/2018/1805042news?sc_lang=en,,,,
2d20180504n3.pdf,hkex,2018-05-04,"Adjustment of GAC Group Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/1805043news?sc_lang=en,,,,
2d20180504n4.pdf,hkex,2018-05-04,Changes of Designated Securities for Short Selling,http://www.hkex.com.hk/News/News-Release/2018/1805044news?sc_lang=en,,,,
2d20180503n1.pdf,hkex,2018-05-03,HKEX Appoints Group Risk Officer ,http://www.hkex.com.hk/News/News-Release/2018/1805033news?sc_lang=en,,,,
2d20180503n2.pdf,hkex,2018-05-03,"The Listing Committee censures Mr Zhang Jing Zhi, a former Executive Director of Sound Global Limited (Stock Code: 967), for breaching the Director’s Undertaking",http://www.hkex.com.hk/News/News-Release/2018/1805032news?sc_lang=en,,,,
2d20180503n3.pdf,hkex,2018-05-03,"The Listing Committee censures Mr Jiang An Ping, a former Executive Director of Sound Global Limited (Stock Code: 967), for breaching the Director’s Undertaking",http://www.hkex.com.hk/News/News-Release/2018/180503news?sc_lang=en,,,,
2d20180502n1.pdf,hkex,2018-05-02,OTC Clear Expands its Services to USD/HKD Cross Currency Swaps and Extends Clearable Tenors of HKD Interest Rate and Basis Swaps to 15 years​,http://www.hkex.com.hk/News/News-Release/2018/180502news?sc_lang=en,,,,
2d20180430n1.pdf,hkex,2018-04-30,"Report on Initial Public Offering Applications, Delisting and Suspensions (As at 30 April 2018)",http://www.hkex.com.hk/News/News-Release/2018/180430news?sc_lang=en,,,,
2d20180426n1.pdf,hkex,2018-04-26,Appointment of Chairman,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/1804262news/1804262news.pdf,,,,
2d20180426n2.pdf,hkex,2018-04-26,New Appointments,http://www.hkex.com.hk/News/News-Release/2018/180426news?sc_lang=en,,,,
